PropType,Taxkey,Address,CondoProject,District,Nbhd,Style,Extwall,Stories,Year_Built,Nr_of_rms,Fin_sqft,Units,Bdrms,Fbath,Hbath,Lotsize,Sale_price,Sale_year
Residential,2500057000,4125 N 62ND ST,,2,1490,Ranch,Brick,1.0,1953,0,1050,1,3,2,0,5330,104000,2017
Residential,1850615000,5438 N 92ND ST,,2,1020,Townhouse,Aluminum / Vinyl,2.0,1969,0,2508,2,6,2,2,6000,114000,2017
Residential,3540801000,1025 E PEARSON ST,,3,3240,Cottage,Frame,2.0,1875,0,1820,1,3,1,1,2500,220000,2017
Residential,3151405000,2935 N DOUSMAN ST,,3,3320,Duplex N/S,Aluminum / Vinyl,1.0,1949,0,1413,2,3,2,0,4800,163000,2017
Residential,3600674000,1529 N CASS ST,,3,3240,Duplex O/S,Aluminum / Vinyl,2.0,1893,0,3582,2,5,3,0,3840,331500,2017
Residential,3550741000,1742 N PULASKI ST,,3,3240,Duplex O/S,Frame,2.0,1913,0,2938,2,6,2,0,3960,230000,2017
Residential,3200514000,2634 N BARTLETT AV,,3,3190,Duplex O/S,Aluminum / Vinyl,2.0,1913,0,1632,1,4,2,0,3600,223000,2017
Residential,2810999000,3015 N BREMEN ST,,3,2880,Duplex O/S,Aluminum / Vinyl,2.0,1908,0,1518,2,4,2,0,3600,135500,2017
Residential,3170095000,2977 N HACKETT AV,,3,3060,Residence O/S,Brick,2.0,1910,0,2792,1,4,3,1,4800,430000,2017
Residential,3200109000,2442 N BARTLETT AV,,3,3190,Residence O/S,Aluminum / Vinyl,1.0,1924,0,1622,1,3,1,1,3600,170000,2017
Residential,3600019000,1621 N VAN BUREN ST,,3,3240,Residence O/S,Frame,1.5,1900,0,1257,1,3,1,0,4800,215000,2017
Residential,3020364000,3018 N 87TH ST,,5,2080,Cape Cod,Brick,1.0,1952,0,1502,1,3,2,0,5000,155000,2017
Residential,3030438000,2967 N 79TH ST,,5,2080,Cape Cod,Brick,1.0,1948,0,1408,1,4,2,0,5632,145900,2017
Residential,2530569000,4317 N 89TH ST,,5,1460,Cape Cod,Aluminum / Vinyl,1.0,1956,0,1386,1,3,1,0,4920,124900,2017
Residential,2610862000,3611 N 96TH ST,,5,2100,Cape Cod,Aluminum / Vinyl,1.0,1948,0,1337,1,4,1,0,5450,147000,2017
Residential,3031204000,2744 N 84TH ST,,5,2080,Cape Cod,Brick,1.0,1952,0,1224,1,3,1,0,4950,168000,2017
Residential,2610940000,3416 N 98TH ST,,5,2100,Cape Cod,Aluminum / Vinyl,1.0,1952,0,1186,1,3,2,0,6000,144400,2017
Residential,1480861100,11600 W LYNX AV,,5,780,Colonial,Aluminum / Vinyl,2.0,2004,0,3702,1,4,3,1,59174,354000,2017
Residential,1140145000,6811 N COVENTRY CT,,5,800,Colonial,Fiber-Cement,2.0,2002,0,2452,1,3,2,1,12118,287000,2017
Residential,1120048000,7235 N CASSIE AV,,5,820,Colonial,Aluminum / Vinyl,2.0,2016,0,2212,1,4,2,1,10005,245000,2017
Residential,2930468000,3471 N 91ST ST,,5,2100,Duplex N/S,Brick,1.5,1954,0,1997,2,4,2,0,4800,158000,2017
Residential,2530647000,4242 N 85TH ST,,5,1460,Duplex N/S,Aluminum / Vinyl,2.0,1955,0,1890,2,4,2,0,5461,96000,2017
Residential,1130123000,6924 N 124TH ST,,5,820,Ranch,Aluminum / Vinyl,1.0,1973,0,1665,1,3,1,1,20000,147500,2017
Residential,2620051000,3821 N 85TH ST,,5,2040,Ranch,Brick,1.0,1955,0,1256,1,3,1,1,9280,151000,2017
Residential,2240385000,4719 N 79TH ST,,5,1470,Ranch,Brick,1.0,1959,0,1237,1,3,1,0,5040,87500,2017
Residential,2520319012,4106 N 83RD ST,,5,1470,Ranch,Brick,1.0,1959,0,1223,1,3,1,1,5280,108900,2017
Residential,1480154000,12023 W LANGLADE ST,,5,780,Ranch,Aluminum / Vinyl,1.0,1972,0,1212,1,3,1,1,10500,160000,2017
Residential,2631221000,3711 N 77TH ST,,5,2040,Ranch,Aluminum / Vinyl,1.0,1954,0,1168,1,3,1,0,6360,129500,2017
Residential,2230693000,8924 W PALMETTO AV,,5,1460,Ranch,Frame,1.0,1960,0,1079,1,3,1,1,6120,126000,2017
Residential,2140191000,4950 N 88TH ST,,5,1400,Ranch,Brick,1.0,1955,0,891,1,2,1,0,8856,75000,2017
Residential,2160103000,5010 N 107TH ST,,5,1040,Residence O/S,Aluminum / Vinyl,2.0,1870,0,2034,1,4,2,0,8580,120000,2017
Residential,1830005000,5253 N 108TH CT,,5,1040,Split Level,Brick,1.0,1961,0,1727,1,4,2,0,9720,119500,2017
Residential,3140707100,2749 N PIERCE ST,,6,2890,Cottage,Frame,1.0,1895,0,656,1,2,1,0,3900,107000,2017
Residential,3140989100,2920 N BUFFUM ST,,6,2930,Dplx Bungalow,Brick,2.0,1922,0,2714,2,6,2,0,8040,37500,2017
Residential,2731902000,3834 N PORT WASHINGTON AV,,6,2820,Duplex O/S,Aluminum / Vinyl,1.5,1909,0,1913,2,6,2,0,8000,44000,2017
Residential,2821821000,3202 N 1ST ST,,6,2900,Duplex O/S,Frame,1.5,1897,0,1394,2,4,2,0,2432,30000,2017
Residential,2660446000,3764 N 54TH BL,,7,1830,Cape Cod,Stone,1.0,1947,0,1713,1,3,1,0,5040,86500,2017
Residential,2670776000,4822 W SCRANTON PL,,7,1820,Cape Cod,Aluminum / Vinyl,1.0,1948,0,1371,1,4,2,1,4800,120000,2017
