,CN,HT,SITREE,common_name,scientific_name
206081,15370381010497,69.0,64.0,California red fir,Abies magnifica
205626,15352719010497,127.0,82.0,California red fir,Abies magnifica
203861,15333073010497,20.0,36.0,California red fir,Abies magnifica
204700,15352414010497,115.0,57.0,California red fir,Abies magnifica
209806,15323250010497,105.0,60.0,California red fir,Abies magnifica
206230,15370779010497,20.0,61.0,California red fir,Abies magnifica
205325,15352963010497,85.0,46.0,California red fir,Abies magnifica
200093,15364944010497,78.0,53.0,Shasta red fir,Abies shastensis
199988,15364838010497,90.0,53.0,Shasta red fir,Abies shastensis
200084,15364935010497,84.0,53.0,Shasta red fir,Abies shastensis
201033,15364549010497,87.0,29.0,Shasta red fir,Abies shastensis
200562,15363366010497,102.0,44.0,Shasta red fir,Abies shastensis
200028,15364879010497,62.0,53.0,Shasta red fir,Abies shastensis
199984,15364834010497,26.0,53.0,Shasta red fir,Abies shastensis
200519,15365730010497,55.0,50.0,Shasta red fir,Abies shastensis
200987,15364500010497,100.0,29.0,Shasta red fir,Abies shastensis
200005,15364855010497,46.0,53.0,Shasta red fir,Abies shastensis
199997,15364847010497,102.0,53.0,Shasta red fir,Abies shastensis
201004,15364519010497,40.0,29.0,Shasta red fir,Abies shastensis
200587,15363392010497,98.0,44.0,Shasta red fir,Abies shastensis
200089,15364940010497,45.0,53.0,Shasta red fir,Abies shastensis
201014,15364530010497,95.0,29.0,Shasta red fir,Abies shastensis
200031,15364882010497,48.0,53.0,Shasta red fir,Abies shastensis
200006,15364856010497,30.0,53.0,Shasta red fir,Abies shastensis
200535,15365746010497,69.0,50.0,Shasta red fir,Abies shastensis
200081,15364932010497,79.0,53.0,Shasta red fir,Abies shastensis
199995,15364845010497,18.0,53.0,Shasta red fir,Abies shastensis
200045,15364896010497,64.0,53.0,Shasta red fir,Abies shastensis
201055,15364572010497,25.0,29.0,Shasta red fir,Abies shastensis
200088,15364939010497,72.0,53.0,Shasta red fir,Abies shastensis
200069,15364920010497,66.0,53.0,Shasta red fir,Abies shastensis
201025,15364541010497,26.0,29.0,Shasta red fir,Abies shastensis
199993,15364843010497,52.0,53.0,Shasta red fir,Abies shastensis
200996,15364510010497,107.0,29.0,Shasta red fir,Abies shastensis
201001,15364516010497,24.0,29.0,Shasta red fir,Abies shastensis
200009,15364859010497,50.0,53.0,Shasta red fir,Abies shastensis
200525,15365736010497,71.0,50.0,Shasta red fir,Abies shastensis
200012,15364862010497,82.0,53.0,Shasta red fir,Abies shastensis
200066,15364917010497,67.0,53.0,Shasta red fir,Abies shastensis
199996,15364846010497,63.0,53.0,Shasta red fir,Abies shastensis
200567,15363371010497,105.0,44.0,Shasta red fir,Abies shastensis
200542,15365753010497,84.0,50.0,Shasta red fir,Abies shastensis
200040,15364891010497,74.0,53.0,Shasta red fir,Abies shastensis
201005,15364520010497,104.0,29.0,Shasta red fir,Abies shastensis
201050,15364566010497,77.0,29.0,Shasta red fir,Abies shastensis
200075,15364926010497,38.0,53.0,Shasta red fir,Abies shastensis
200023,15364874010497,33.0,53.0,Shasta red fir,Abies shastensis
200536,15365747010497,72.0,50.0,Shasta red fir,Abies shastensis
200083,15364934010497,58.0,53.0,Shasta red fir,Abies shastensis
200033,15364884010497,49.0,53.0,Shasta red fir,Abies shastensis
201041,15364557010497,29.0,29.0,Shasta red fir,Abies shastensis
201024,15364540010497,85.0,29.0,Shasta red fir,Abies shastensis
201000,15364515010497,101.0,29.0,Shasta red fir,Abies shastensis
201035,15364551010497,14.0,29.0,Shasta red fir,Abies shastensis
200025,15364876010497,62.0,53.0,Shasta red fir,Abies shastensis
200556,15363360010497,96.0,44.0,Shasta red fir,Abies shastensis
199962,15364812010497,80.0,53.0,Shasta red fir,Abies shastensis
201002,15364517010497,111.0,29.0,Shasta red fir,Abies shastensis
200992,15364505010497,85.0,29.0,Shasta red fir,Abies shastensis
199974,15364824010497,49.0,53.0,Shasta red fir,Abies shastensis
201020,15364536010497,112.0,29.0,Shasta red fir,Abies shastensis
200039,15364890010497,31.0,53.0,Shasta red fir,Abies shastensis
200010,15364860010497,58.0,53.0,Shasta red fir,Abies shastensis
200032,15364883010497,70.0,53.0,Shasta red fir,Abies shastensis
200087,15364938010497,33.0,53.0,Shasta red fir,Abies shastensis
200529,15365740010497,70.0,50.0,Shasta red fir,Abies shastensis
199999,15364849010497,40.0,53.0,Shasta red fir,Abies shastensis
200063,15364914010497,74.0,53.0,Shasta red fir,Abies shastensis
201045,15364561010497,60.0,29.0,Shasta red fir,Abies shastensis
201019,15364535010497,70.0,29.0,Shasta red fir,Abies shastensis
200060,15364911010497,80.0,53.0,Shasta red fir,Abies shastensis
200038,15364889010497,67.0,53.0,Shasta red fir,Abies shastensis
200054,15364905010497,72.0,53.0,Shasta red fir,Abies shastensis
200068,15364919010497,60.0,53.0,Shasta red fir,Abies shastensis
200013,15364863010497,67.0,53.0,Shasta red fir,Abies shastensis
199982,15364832010497,73.0,53.0,Shasta red fir,Abies shastensis
200056,15364907010497,22.0,53.0,Shasta red fir,Abies shastensis
199981,15364831010497,39.0,53.0,Shasta red fir,Abies shastensis
